"Firm_plan","Bun_Code","PU_code","Ten_San_Pham","SL_Sheet","SL_Bun_Can_Tach","SL_Bun_Can_Do"
"FPRO-260318-0027","BDB-000235","PVN-003576","OrthoLite X-55-Hybrid FOSSIL/17-0909TPX Hybrid Flat Sheet 0.16D 25+/-4 Asker C 1.1M 1.7M 12mm","2,000","174","189"
"RPRO-260409-0288","BDB-000235","PVN-003576","OrthoLite X-55-Hybrid FOSSIL/17-0909TPX Hybrid Flat Sheet 0.16D 25+/-4 Asker C 1.1M 1.7M 12mm","165","15",""
"FPRO-260319-0002","BDB-000113","PVN-003414","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 12mm","1,750","153","258"
"FPRO-260130-0028","BDB-000113","PVN-002501","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 2mm","1,000","15",""
"FPRO-260318-0011","BDB-000113","PVN-002465","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 5mm","2,500","90",""
"RPRO-260409-0294","BDB-000076","PVN-003494","OrthoLite X-25 BILLIARD/16-5427TPX Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 5.5mm","25","1","3"
"RPRO-260410-0205","BDB-000076","PVN-003494","OrthoLite X-25 BILLIARD/16-5427TPX Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 5.5mm","50","2",""
"RPRO-260407-0078","BDB-000309","PVN-004033","OrthoLite X-40-Hybrid NEUTRAL GRAY/17-4402TPX Hybrid Flat Sheet 0.16D 35+/-4 Asker C 1.1M 2M 2mm","210","4","4"
"RPRO-260407-0082","BDB-000373","PVN-004315","OrthoLite X-25-Nike BILLIARD/16-5427TPX Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 5mm","112","4","4"
"FPRO-260410-0001","BDB-000385","PVN-004381","OrthoLite Impressions-Nike TAWNY PORT/19-1725TPX 0.15D 70-80 Asker F 1.1M 1.7M 3mm","256","6","6"
"RPRO-260410-0201","BDB-000319","PVN-004247","OrthoLite X-40-Hybrid-Nike SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.16D 25+/-4 Asker C 1.1M 2M 4.2mm","33","1","1"
"FPRO-260330-0004","BDB-000156","PVN-003243","OrthoLite X-35-Hybrid-Nike AMAZON/18-6024TPX Hybrid 0.145D 25+/-4 Asker C 1.1M 2M 5.2mm","500","20","20"
"FPRO-260324-0035","BDB-000259","PVN-003684","OrthoLite Nike PP002 GLACIER GRAY/14-4102TPX Flat Sheet 0.145D 25+/-4 asker C 1.1M 2M 4.2mm","1000","31","31"
"FPRO-260324-0065","BDB-000157","PVN-003573","OrthoLite X-35-Hybrid-Nike SEEDPEARL/12-0703TPX Hybrid 0.145D 25+/-4 Asker C 1.1M 2M 4.2mm","2000","61","61"
"RPRO-260407-0077","BDB-000248","PVN-003931","OrthoLite X-40-Hybrid RED/19-1764TPX Hybrid Flat Sheet 0.16D 25+/-4 Asker C 1.1M 1.7M 6.5mm","357","18","18"
"RPRO-260406-1100","BDB-000346","PVN-004188","OrthoLite Float NEUTRAL GRAY/17-4402TPX Flat Sheet 0.12D 21+/-4 Asker C 1.1M 1.47M 5.5mm","250","10","10"
"RPRO-260406-1107","BDB-000339","PVN-004178","OrthoLite Float NEUTRAL GRAY/17-4402TPX Flat Sheet 0.12D 21+/-4 Asker C 1.1M 2M 5.5mm","500","20","20"
"RPRO-260406-1105","BDB-000332","PVN-004146","OrthoLite X-25 CASTLEROCK/18-0201TPX Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 5.5mm","1000","40","40"
"RPRO-260409-0293","BDB-000334","PVN-004327","OrthoLite X-55-Hybrid FOSSIL/17-0909TPX Hybrid Flat Sheet 0.16D 25+/-4 Asker C 1.1M 2M 6mm","46","3","0"
"RPRO-260410-0200","BDB-000212","PVN-003458","OrthoLite X-25-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 4mm","35","1","1"
"RPRO-260410-0206","BDB-000213","PVN-003752","OrthoLite X-25-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.12D 20+/-4 Asker C 1.1M 1.47M 4.5mm","124","5","5"
"RPRO-260410-0204","BDB-000340","PVN-004177","OrthoLite Float SEEDPEARL/12-0703TPX Flat Sheet 0.12D 21+/-4 Asker C 1.1M 2M 5.5mm","350","14","14"
"RPRO-260410-0207","BDB-000321","PVN-004104","OrthoLite Float BLUE ATOLL/16-4535TPX Flat Sheet 0.12D 21+/-4 Asker C 1.1M 2M 5mm","84","3","38"
"RPRO-260410-0208","BDB-000321","PVN-004092","OrthoLite Float BLUE ATOLL/16-4535TPX Flat Sheet 0.12D 21+/-4 Asker C 1.1M 2M 14.5mm","315","35",""
"RPRO-260414-0218","BDB-000055","PVN-003326","OrthoLite X-40 TRUE BLUE/19-4057TPX Flat Sheet 0.16D 35+/-4 Asker C 1.1M 1.7M 14mm","27","3","3"
"RPRO-260413-0275","BDB-000055","PVN-003326","OrthoLite X-40 TRUE BLUE/19-4057TPX Flat Sheet 0.16D 35+/-4 Asker C 1.1M 1.7M 14mm","36","4","4"
"RPRO-260413-0283","BDB-000077","PVN-003478","Ortholite X-25 SEEDPEARL/12-0703TPX Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 4mm","175","5","5"
